user_id,created_at,screen_name,status_id,hashtags,text,Sentiment,source,country,location,favorite_count,country_code,retweet_count,geo_coords,coords_coords,bbox_coords,followers_count,lang,retweet_status_id,retweet_user_id,testdata.retweet_status_id
,6/28/2020 14:21,stschultze,,vegan,Have you tried s veganburgers,1,Twitter Web App,,"Earth, Berlin",0,,11,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 14:27,stschultze,,cool delicious,"Just try a cool plantbased alternativetheyre deliciouswont stuck on your hips I switched last yearsuperhappyfit 

 

happening NOW 

vegan friendsnotfood foodphotography artnews",3,Twitter Web App,,"Earth, Berlin",0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/27/2020 22:41,stschultze,,cute pollinators insects foodchain insects,"UFAre YOU in 

WE rely on cute pollinatorsother insectsour foodchain Theres MASSIVE decline among insects UFDwide NGOs scientists K of YOU already callchange

JOINUFDUAF 

vegan bees hulbees news rt",1,Twitter Web App,,"Earth, Berlin",0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 12:10,stschultze,,vegan,Have you tried s vegan dairy products,1,Twitter Web App,,"Earth, Berlin",0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 11:28,stschultze,,BEAUTIFUL MOVIE soundtrack,"Heard UFthem BEAUTIFUL cover of s

IF LIFE IS A MOVIE THIS should b in YOUR soundtrack

BE A LIGHTUFABUBUFEF 

Masterpiece byfriendsYahoshBonner blacklifesmatter onelove vegan socent rmx news",1,Twitter Web App,,"Earth, Berlin",0,,6,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 11:49,stschultze,,NHS corona,"HeardUFhersupports 
 UK NHS corona frontline workers w 

Try her stunning kissme SixpenceNonTheRicher cover
UFBUFFUFUAF

movie soundtrack vegantech gym workout dj news",1,Twitter Web App,,"Earth, Berlin",0,,6,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 11:01,stschultze,,,"Every journey is personal and deserves to be celebrated UFCYessssLizzo could we love you anymore Nah nup na UUFEF UFC

nomeatmay girlcrush Lizzo plantpowered revolutionstartshere improveyourhealth savetheplanet feedtheworld endfactoryfarming vegan",3,Twitter Web App,,"Earth, Berlin",0,,1,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 11:30,stschultze,,charity concert,"SeenUFit Katie UF just did a charity concert in favour ofUFAB

 UFBUUFEFUAF 

BEAUTIFUL cover of HERE COMES THE SUN TheBeatlesfabfour soundtrack veganmovie dj news",3,Twitter Web App,,"Earth, Berlin",0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 20:47,stschultze,,BelieveInYourself BIRDS FEATHER UseSomebody KingsOfLeon cover,"SeenUFt Just BelieveInYourself

 add BIRDS OF A FEATHER 
s BRILLIANT UseSomebody KingsOfLeon covermy phoenix painting

UFUAF

art vegan movie soundtrack dj producer news",1,Twitter Web App,,"Earth, Berlin",0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 21:21,Gucci_Rodrigo,,vegan,Heres a little something for my vegan girls Vegan Mozerrella Sticks UF UFUFFDUDUF,2,Twitter for iPhone,,<U+2609> aries<U+263D> libra <U+2191> leo,0,,1,NA NA,NA NA,NA NA NA NA NA NA NA NA,2099,en,,,
,6/28/2020 21:21,petervalcarcel,,,Featured our Black Bean Empanada UFF annaraevBoth stores open today until pm Get some empanadas for the beach UFD empanadas jessyspastries oceansideny westbury peruviangreensauce veganoptions vegan,1,Twitter for iPhone,,"New York, NY",0,,0,NA NA,NA NA,NA NA NA NA NA NA NA NA,3851,en,,,
,6/27/2020 22:55,tamathahunter,,YulinDogMeatFestival dcmt,"The dogs skin that are sadistically tortured in theYulinDogMeatFestival and the dog and cat meat trade dcmt in China is the leather sold in belts jackets gloves bags etc say NO to leather

Dont finance animalcruelty buy vegan products

animalrights dogs",2,Twitter Web App,,Cisco TX ,0,,244,NA NA,NA NA,NA NA NA NA NA NA NA NA,463,en,,,
,6/27/2020 4:57,tamathahunter,,,"Animals deserve love and respect as sentient beings that they are Do not forgetUUFEUFDUFA

It takes nothing away from a human to be kind to an animalJoaquin Phoenix UFDUFE

FridayMotivation Vegan 
FridayThoughts EndSpeciesism",3,Twitter Web App,,Cisco TX ,0,,232,NA NA,NA NA,NA NA NA NA NA NA NA NA,463,en,,,
,6/27/2020 22:31,tamathahunter,,,You have to just love this picture UFAanimalslivesmatter vegan,3,Twitter Web App,,Cisco TX ,0,,136,NA NA,NA NA,NA NA NA NA NA NA NA NA,463,en,,,
,6/28/2020 21:20,WimWasterval,,vegan animalrights,"Ag is built on lies
vegan animalrights",2,Twitter Web App,,,0,,96,NA NA,NA NA,NA NA NA NA NA NA NA NA,874,en,,,
,6/28/2020 21:20,frayandybentos,,,"Gift Ideas For Ros Wine Lovers VeganWhat is the best gift to give a ros wine lover We have selectedgreat gift sets which include awardwinning wines from



wine winelovers vegan aix englishwine",3,Twitter Web App,,,0,,386,NA NA,NA NA,NA NA NA NA NA NA NA NA,295,en,,,
,6/28/2020 21:20,LocalHeroesNE,,,Pie shop openLimited number of Classic Porky Pies availableUFE Last deliveries for a while as we are moving really soon UFAplantpoweredpies vegan newcastle gateshead,1,Twitter for iPhone,,"North East, England",0,,3,NA NA,NA NA,NA NA NA NA NA NA NA NA,461,en,,,
,6/28/2020 21:20,Hinal1111,,YulinDogMeatFestival animalcruelty,"Animals being boiled alive doesnt happen only in YulinDogMeatFestival all meat production is animalcruelty all over the world so therefore it should stop by stopping its demand UFD 

SEE THE TRUTH UFUF

endspeciesism vegan animalrights dogs bacon",2,Twitter for iPhone,,india,0,,152,NA NA,NA NA,NA NA NA NA NA NA NA NA,733,en,,,
,6/28/2020 21:19,FoodsWoodside,,bathbombs selfcare essentialoils vegan,"I didnt end up liking this coloring method but it sure did look cool UF
bathbombs
selfcare
essentialoils
vegan",1,Twitter for iPhone,,,0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,61,en,,,
,6/27/2020 9:04,MimiRossiJ,,AnimalRights HumanRights,"We all think AnimalRights are a great idea

We just call them HumanRights so no other animals qualify

The reason we dont give rights to nonhuman animals

Wed have to stop abusing themUF

Go veganUF",2,Twitter for iPhone,,United Kingdom,0,,56,NA NA,NA NA,NA NA NA NA NA NA NA NA,494,en,,,
,6/27/2020 9:57,MimiRossiJ,,,"Sometimes words do the opposite of fail us they eject themselves with revulsion through streaming tearsUFUFUFA

This is obscenecruel
RealityCheck Pay for this sick crap and you are too
Go veganUF",2,Twitter for iPhone,,United Kingdom,0,,59,NA NA,NA NA,NA NA NA NA NA NA NA NA,494,en,,,
,6/27/2020 20:42,MimiRossiJ,,vegan cheese,In celebration of its th anniversary the iconic vegan brand expands its line with a tangy cheese thats perfect for stuffing spanakopitas and crumbling into Greek salads,2,Twitter for iPhone,,United Kingdom,0,,8,NA NA,NA NA,NA NA NA NA NA NA NA NA,494,en,,,
,6/27/2020 9:15,MimiRossiJ,,vegan,How about adding a vegan banana deli meat sandwich to the menu,1,Twitter for iPhone,,United Kingdom,0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,494,en,,,
,6/28/2020 21:18,isamustang73,,empathy,"If youre trying to keep the ball up too what youre experiencing is the magical feeling of empathyUF

Being vegan is just feeling that feeling for every animalUF

Be veganUF",1,Twitter for Android,,"Barcelona, EspaÃƒÂ±a",0,,9,NA NA,NA NA,NA NA NA NA NA NA NA NA,1271,en,,,
,6/27/2020 19:51,isamustang73,,EndTheCaptiveAge,"We all now know captivity
We know the mental torture it inflicts
Its time to EndTheCaptiveAge
Its time to share the earth with other earthlings

Covid has taught us so much
We must learn and change
Go veganUF",3,Twitter for Android,,"Barcelona, EspaÃƒÂ±a",0,,213,NA NA,NA NA,NA NA NA NA NA NA NA NA,1271,en,,,
,6/27/2020 18:48,isamustang73,,Animal,"By way of saying thank you to all my followers I hope this brings you a moment of happinessUFUFUF
Animal lovers are clearly capable of more empathy so this should work wellUF
BeKindToAllKindsUFF
Be veganUF",3,Twitter for Android,,"Barcelona, EspaÃƒÂ±a",0,,283,NA NA,NA NA,NA NA NA NA NA NA NA NA,1271,en,,,
,6/28/2020 14:53,isamustang73,,,"Schadenfreude is strangeUFUFF
To laugh at anothers misfortune
Mainly enjoy the suffering and youre a sociopath
Care about the fate of the unfortunate and youre an empath
Have empathy for all animalsUF
Go veganUF",2,Twitter for Android,,"Barcelona, EspaÃƒÂ±a",0,,27,NA NA,NA NA,NA NA NA NA NA NA NA NA,1271,en,,,
,6/28/2020 9:35,PRAEST,,,"Eggs come from an extremely cruel industry and consumption is also bad for human health

There are incredibly high risks for diabetes cancer and heart disease among egg eaters showing us that eggs are not food for humans
 GoVegan cancer plantbased health nutrition Vegan",2,Twitter for Android,,United Kingdom,0,,34,NA NA,NA NA,NA NA NA NA NA NA NA NA,360,en,,,
,6/27/2020 20:37,PRAEST,,Vegan,"Drinking milk for nutrients is like inhaling cigarette smoke for oxygen

End this absurdity

Go dairyfree

Vegan dairyfree",2,Twitter for Android,,United Kingdom,0,,90,NA NA,NA NA,NA NA NA NA NA NA NA NA,360,en,,,
,6/27/2020 16:59,arayah_mariah,,bacon Farm365 Vegan,Two snuggle eyes closed Other lays in great fear a blank stare Do you still want to eat bacon Farm Vegan,2,Twitter for iPad,,"minsk via milan (okay, nj)",0,,213,NA NA,NA NA,NA NA NA NA NA NA NA NA,394,en,,,
,6/28/2020 21:18,arayah_mariah,,VeganAriShow,New VeganAriShow Talking Russian bounties on US soldiers surging coronavirus cases and I address my tweet on toxicity in the vegan movement Tasting vegan feta byAnd of course vegananimal rights news LISTEN Apple Spotify or,1,Twitter for iPhone,,"minsk via milan (okay, nj)",0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,394,en,,,
,6/28/2020 21:18,thehippyhen,,Vegan,"Orderproducts from an ethical company with good honest ingredients that dont cost the earth Vegan Biodegradable Organic
Every girl deserves dignity period 
SmashShame
BintiPeriod
ILovePeriods
PeriodCharity
Periods
MenstrualEquity 
DignityPeriod UFC",3,Twitter Web App,,"Isle of Bute, Scotland, UK",0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,1707,en,,,
,6/28/2020 14:32,Djane_Aileen,,bacon vegan GoVegan4Regan GoVegan AnimalRights JusticeForRegan justice,"How can people still eat bacon
I dont get it

vegan GoVeganRegan GoVegan AnimalRights JusticeForRegan justice",3,Twitter Web App,,Mother Earth,0,,8,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/28/2020 10:16,Djane_Aileen,,GoVegan4Regan GoVegan justice vegan AnimalRights,"Regan Russell

Murdered deliberately run down by a truck driver 

GoVeganRegan GoVegan justice vegan AnimalRights",2,Twitter Web App,,Mother Earth,0,,9,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/28/2020 14:42,Djane_Aileen,,,"Sunday picnic special 









vegan food yummy recipes",3,Twitter Web App,,Mother Earth,0,,4,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/28/2020 14:49,Djane_Aileen,,,"Sunday picnic special 









vegan food yummy recipes",3,Twitter Web App,,Mother Earth,0,,1,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/28/2020 21:17,Djane_Aileen,,vegan plantbased,"British Butcher goes meatfree UFECUFE
vegan plantbased UF",2,Twitter Web App,,Mother Earth,0,,135,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/28/2020 14:57,Djane_Aileen,,,"Sunday picnic special 









vegan food yummy recipes",3,Twitter Web App,,Mother Earth,0,,1,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/27/2020 22:52,Djane_Aileen,,JusticeForRegan,"Regan Russell

Murdered deliberately run down by a truck driver 

She will not be forgotten

JusticeForRegan GoVeganRegan GoVegan justice vegan AnimalRights",2,Twitter Web App,,Mother Earth,0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/27/2020 22:57,Djane_Aileen,,pork bacon vegan,"I dont know why people are so obsessed with pork and bacon

Here some healthy vegan alternatives 

Pulled Pork 


Pork Wrap


Vegan Braised Pork


Pulled Pork 


food recipes",1,Twitter Web App,,Mother Earth,0,,6,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/27/2020 23:00,Djane_Aileen,,vegan food,"Special vegan BBQ thread 

Feel free to add your own recipes favs GIFs tips requests 
vegan only

vegan food recipes yummy",1,Twitter Web App,,Mother Earth,0,,11,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/28/2020 14:36,Djane_Aileen,,,"Sunday picnic special 









vegan food yummy recipes",3,Twitter Web App,,Mother Earth,0,,1,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/28/2020 15:08,Djane_Aileen,,,"Sunday picnic special 









vegan food yummy recipes",3,Twitter Web App,,Mother Earth,0,,1,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/27/2020 22:44,Djane_Aileen,,JusticeForRegan GoVegan4Regan GoVegan justice,"Regan Russell

Murdered deliberately run down by a truck driver 

JusticeForRegan GoVeganRegan GoVegan justice vegan AnimalRights",2,Twitter Web App,,Mother Earth,0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/28/2020 15:19,Djane_Aileen,,,"Sunday picnic special 









vegan food yummy recipes",3,Twitter Web App,,Mother Earth,0,,1,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
,6/28/2020 21:17,acaihoney,,vegan,Lets talk about these vegan chili cheese fries I just made UFAUF vegan,1,Twitter for iPhone,,<U+0001F47B>acaihoney,0,,61,NA NA,NA NA,NA NA NA NA NA NA NA NA,1246,en,,,
,6/28/2020 21:17,WhiskeyconTacos,,,Today a memorial is being held for Regan Russelland PETA member who was killed last week while showing kindness to pigs on their way to slaughter Honor her life by going vegan SavePigsRegan,2,Twitter for Android,,,0,,11,NA NA,NA NA,NA NA NA NA NA NA NA NA,329,en,,,
,6/26/2020 23:32,4f345,,vegan AnimalRights,"We should keep the compassion we learn when we are children Empathy learning prevents violence

vegan AnimalRights plantbased love",3,Twitter Web App,,"Cartago, Costa Rica",0,,283,NA NA,NA NA,NA NA NA NA NA NA NA NA,576,en,,,
,6/28/2020 21:17,4f345,,VEGAN UK,"Please help the first VEGAN centre for disabled animals in the UK

Disabled animals tend to get killed be part of building this wonderful place

 
UBUFEFUBUFEFUBUFEF",2,Twitter Web App,,"Cartago, Costa Rica",0,,201,NA NA,NA NA,NA NA NA NA NA NA NA NA,576,en,,,
,6/26/2020 23:31,4f345,,,Not sure why they need to talk about it The evidence of the crueltysuffering it inflicts on these poor animals who are already facing a horrifying death in a slaughter house is overwhelming BanLiveExports better yet invest in plant based initiatives The future is Vegan,2,Twitter Web App,,"Cartago, Costa Rica",0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,576,en,,,
,6/28/2020 21:17,Pootler1974,,Competition,"Competition 

Celebrate the launch of our NEW Chocolate Chickpeas
Win a Variety cases 

To enter follow 

RT

Tag a friendextra entry 

Ends 

Or buy now on Amazon

TCs

FreebieFriday vegan win RT freefrom dairyfree glutenfree nutfree",1,Twitter for Android,,Newcastle-Upon-Tyne,0,,270,NA NA,NA NA,NA NA NA NA NA NA NA NA,445,en,,,
