"location","user_id","status_id","created_at","screen_name","text","source","retweet_count","country","country_code","bbox_coords","hashtags","coords_coords","geo_coords"
"Toulouse, France",,,"2020-06-15 20:23:12","DuvalLevesque","Happy 6-month #exvegan story https://t.co/sIXCL6Hb7r","Twitter for iPad",3,"","","NA NA NA NA NA NA NA NA","exvegan","NA NA","NA NA"
"Scotland",,,"2020-06-15 15:21:32","YsabelleStewart","Happy 6-month #exvegan story https://t.co/sIXCL6Hb7r","Twitter Web App",3,"","","NA NA NA NA NA NA NA NA","exvegan","NA NA","NA NA"
"Brooklyn, NY",,,"2020-06-15 15:03:23","Travis_Statham","Happy 6-month #exvegan story https://t.co/sIXCL6Hb7r","Twitter Web App",3,"","","NA NA NA NA NA NA NA NA","exvegan","NA NA","NA NA"
"","xx403336006",,"2020-06-23 18:05:23","BizNewsJobs","My heart belongs to this industry <U+0001F954>
#TuesdayThoughts #meatlovers #hospitalityindustry #chef #4thJuly https://t.co/CTn044kZzh","HospitalityTrader Bot",1,"","","NA NA NA NA NA NA NA NA","TuesdayThoughts meatlovers hospitalityindustry chef 4thJuly","NA NA","NA NA"
"Cardiff, Wales",,,"2020-06-23 18:03:36","Franca13096873","My heart belongs to this industry <U+0001F954>
#TuesdayThoughts #meatlovers #hospitalityindustry #chef #4thJuly https://t.co/CTn044kZzh","Twitter for Android",1,"","","NA NA NA NA NA NA NA NA","TuesdayThoughts meatlovers hospitalityindustry chef 4thJuly","NA NA","NA NA"
"",,,"2020-06-23 16:40:01","BasitMehmood768","Spicy and authentic sindhi biryani k liye neechy walay link pe click karen
https://t.co/pMkj2LFwv8

#chicken #rice #biryani #ChickenBiryani #spicySindhiBiryani #spicyChickenBiryani #MeatLovers #chickenLovers #HealthyFood #sastaKhana #nutritious  #digestible #glutenFreeBiryani","Twitter Web App",0,"","","NA NA NA NA NA NA NA NA","chicken rice biryani ChickenBiryani spicySindhiBiryani spicyChickenBiryani MeatLovers chickenLovers HealthyFood sastaKhana nutritious digestible glutenFreeBiryani","NA NA","NA NA"
"Phoenix, AZ",,,"2020-06-23 14:58:32","thisgrilllife","Today we made some Chili Cheese Dogs on the Q for lunch. Very nice and will be repeated! Recipe from @jordalthuizen #BBQbuddiez #chilicheesedogs #thebastard #thebastardnl #bbq #kamado #bbqnl #bbqlife #outdoorcooking #bbqfoodie #meatlovers #altijdbbqweer #bbqlovers #bbqinspiratie https://t.co/CYgBOkEZaZ","Twitter for iPhone",1,"","","NA NA NA NA NA NA NA NA","","NA NA","NA NA"
"Nederland",,,"2020-06-23 14:41:33","BbqBuddiez","Today we made some Chili Cheese Dogs on the Q for lunch. Very nice and will be repeated! Recipe from @jordalthuizen #BBQbuddiez #chilicheesedogs #thebastard #thebastardnl #bbq #kamado #bbqnl #bbqlife #outdoorcooking #bbqfoodie #meatlovers #altijdbbqweer #bbqlovers #bbqinspiratie https://t.co/CYgBOkEZaZ","Twitter for iPhone",1,"","","NA NA NA NA NA NA NA NA","BBQbuddiez chilicheesedogs thebastard thebastardnl bbq kamado bbqnl bbqlife outdoorcooking bbqfoodie meatlovers altijdbbqweer bbqlovers bbqinspiratie","NA NA","NA NA"
"Nederland",,,"2020-06-16 19:31:22","BbqBuddiez","Today I made one of my favourites: Cast iron mussels with pancetta, garlic and thyme. We <U+2764><U+FE0F> this! #BBQbuddiez #mussels #thebastard #thebastardnl #bbq #kamado #bbqnl #bbqlife #outdoorcooking #bbqfoodie #meatlovers #altijdbbqweer #bbqlovers #bbqfood #bbqinspiratie #foodporn #grill https://t.co/e4X5Do4mQt","Twitter Web App",1,"","","NA NA NA NA NA NA NA NA","BBQbuddiez mussels thebastard thebastardnl bbq kamado bbqnl bbqlife outdoorcooking bbqfoodie meatlovers altijdbbqweer bbqlovers bbqfood bbqinspiratie foodporn grill","NA NA","NA NA"
"",,,"2020-06-23 14:24:28","pmb_tweets","The Olympic Games are for the world and all nations must be admitted to them. â€” Pierre de Coubertin

#WorldOlympicDay #Chicken #HalalChicken #Goat #Lamb #Freshmeat #ChickenWings #Seafoods #Meatlovers #Foodie #Halalmeat #Halalgoat #Halallamb #Premiermeatbazaar https://t.co/LKBp4VxcVM","Twitter Web App",0,"","","NA NA NA NA NA NA NA NA","WorldOlympicDay Chicken HalalChicken Goat Lamb Freshmeat ChickenWings Seafoods Meatlovers Foodie Halalmeat Halalgoat Halallamb Premiermeatbazaar","NA NA","NA NA"
"",,,"2020-06-19 17:15:24","pmb_tweets","Thanks to all our customers for your overwhelming support! For curbside pickup, please call. +1-(214)-892-9933
We are working for your safety with each order. https://t.co/nOqMzdHmV3
#Chicken #HalalChicken #Goat #Lamb #Freshmeat #Seafoods #Meatlovers #Foodie #Halalmeat #Halalgoat https://t.co/B3utvHGJXr","Twitter Web App",0,"","","NA NA NA NA NA NA NA NA","Chicken HalalChicken Goat Lamb Freshmeat Seafoods Meatlovers Foodie Halalmeat Halalgoat","NA NA","NA NA"
"",,,"2020-06-22 16:47:58","pmb_tweets","Order now at DesiDine2Go. Youâ€™ll love every bite of our delicious meat-guaranteed. So, what are you waiting for? Hurry up!! https://t.co/nOqMzdHmV3

#Chicken #HalalChicken #Goat #Lamb #Freshmeat #Seafoods #Meatlovers #Foodie #Halalmeat #Halalgoat #Halallamb #Premiermeatbazaar https://t.co/2PPfdhhxJH","Twitter Web App",0,"","","NA NA NA NA NA NA NA NA","Chicken HalalChicken Goat Lamb Freshmeat Seafoods Meatlovers Foodie Halalmeat Halalgoat Halallamb Premiermeatbazaar","NA NA","NA NA"
"Sayre, PA",,,"2020-06-23 13:04:34","DandyMiniMarts","When you don't feel like cooking, make dinner Dandy. We have a delicious meatlovers pizza, among others on our menu. Always hand-pressed, hot and fresh.

It's #dandytime #mmmdandy #godandy #pizza #meatlovers https://t.co/AJ9ObusvyT","Hootsuite Inc.",0,"","","NA NA NA NA NA NA NA NA","dandytime mmmdandy godandy pizza meatlovers","NA NA","NA NA"
"",,,"2020-06-23 10:08:02","OngelCansu","Look at this beauty! This was from a street food place very close to the city <U+0001F403> This vendor is called Carcass. 

â€¢ â€¢ â€¢ â€¢ â€¢ #meat #bbq #grill #beef #barbecue #steak #grilling #meatporn #meatlover #meatlovers #churrasco #redmeat #foodporn #food #foodie #carne https://t.co/3rFb0hwbOf","Buffer",1,"","","NA NA NA NA NA NA NA NA","meat bbq grill beef barbecue steak grilling meatporn meatlover meatlovers churrasco redmeat foodporn food foodie carne","NA NA","NA NA"
"",,,"2020-06-22 16:01:36","mealstock","What comes to mind when you see these skewers?

Credit- cheatmeats
#Mealstock #meat #meatmonday #foodie #meatlovers #beef #grill #bbq #steak https://t.co/FUpSsuuav2","Hootsuite Inc.",0,"","","NA NA NA NA NA NA NA NA","Mealstock meat meatmonday foodie meatlovers beef grill bbq steak","NA NA","NA NA"
"",,,"2020-06-23 09:30:19","mealstock","How do you love your steak? Is it
RARE
MEDIUM RARE
MEDIUM
MEDIUM WELL
WELL DONE

#Mealstock #steak #meat #meatlovers #grill #smoking #bbq #meatporn https://t.co/HQTTeTCneR","Hootsuite Inc.",0,"","","NA NA NA NA NA NA NA NA","Mealstock steak meat meatlovers grill smoking bbq meatporn","NA NA","NA NA"
"Dubai, United Arab Emirates",,,"2020-06-23 05:04:43","MobileBot01","<U+0001F449><U+0001F449>Limited Time Period Offer<U+0001F448><U+0001F448>

Fall in love with each loaf at Meatloaf<U+0001F60B><U+0001F60B>. Order 3000 &amp; above! Get freebies with order.. Stay Home, We deliver at your doorstep.

Download app Now
#Android: https://t.co/6po5pcw8GQ
#iOS : https://t.co/oneFajcAjU

#foodies #meatlovers #chicken https://t.co/II6G8tWLhp","MobileBot",1,"","","NA NA NA NA NA NA NA NA","","NA NA","NA NA"
"Panchkula",,,"2020-06-23 05:02:46","meatloafcpc","<U+0001F449><U+0001F449>Limited Time Period Offer<U+0001F448><U+0001F448>

Fall in love with each loaf at Meatloaf<U+0001F60B><U+0001F60B>. Order 3000 &amp; above! Get freebies with order.. Stay Home, We deliver at your doorstep.

Download app Now
#Android: https://t.co/6po5pcw8GQ
#iOS : https://t.co/oneFajcAjU

#foodies #meatlovers #chicken https://t.co/II6G8tWLhp","Twitter Web App",1,"","","NA NA NA NA NA NA NA NA","Android iOS foodies meatlovers chicken","NA NA","NA NA"
"California, USA",,,"2020-06-22 22:52:36","poundmelters_","Beef is one of the foods with high nutritional value and contain many essential amino acids, fats, minerals, vitamins <U+0001F969>Â 

 #healthyfood #food #yummy #beef #meat #meatlovers #grilling #steaklover https://t.co/7Q2lNibREN","eClincher",1,"","","NA NA NA NA NA NA NA NA","healthyfood food yummy beef meat meatlovers grilling steaklover","NA NA","NA NA"
"Santa Fe, NM, USA",,,"2020-06-22 21:58:38","beckandbulow","Buffalo Jerky: A Food With Ancient Origins Across The Globe .. https://t.co/WJHa8deZXU

#BuffaloJerky #Meat #MeatLovers #BuffaloMeat #PremiumBuffaloMeat #SantaFe #NewMexico #OrganicBuffaloMeat #BuffaloMeatCuts #GrassFedMeat #MeatForSale #MeatSale #RanchToDoor https://t.co/AZrUGYty9C","Twitter Web App",0,"","","NA NA NA NA NA NA NA NA","BuffaloJerky Meat MeatLovers BuffaloMeat PremiumBuffaloMeat SantaFe NewMexico OrganicBuffaloMeat BuffaloMeatCuts GrassFedMeat MeatForSale MeatSale RanchToDoor","NA NA","NA NA"
"",,,"2020-06-22 15:43:07","carnivoreclub","Moms always know best! Thanks for the share! <U+0001F64C>
Tag us in your Carnivore Club memories! 

#carnivoreclub #salamibouquet #giftidea #birthdaygift #meatlovers #moms #motherknowsbest #charcuterieboard #meatboard #subscriptionbox #supportcanadiancompanies #charcuterie https://t.co/TlyQTQdZXb","AgoraPulse Manager",0,"","","NA NA NA NA NA NA NA NA","carnivoreclub salamibouquet giftidea birthdaygift meatlovers moms motherknowsbest charcuterieboard meatboard subscriptionbox supportcanadiancompanies charcuterie","NA NA","NA NA"
"",,,"2020-06-21 14:43:06","carnivoreclub","Happy Father's Day to all the carnivore dads!  We hope you are enjoying your delicious meats! <U+0001F44F>

#carnivoreclub #fathersday #salamibouquet #meatlovers #dads #father #charcuterieboard #meatboard #subscriptionbox #supportcanadiancompanies #charcuterie https://t.co/voK72v5ltU","AgoraPulse Manager",0,"","","NA NA NA NA NA NA NA NA","carnivoreclub fathersday salamibouquet meatlovers dads father charcuterieboard meatboard subscriptionbox supportcanadiancompanies charcuterie","NA NA","NA NA"
"Guelph",,,"2020-06-22 13:49:31","GuelphBugle","Excited for when we start making some of our more elaborate cakes again! #deepdishpizza #deepdishpizzacake #pizzacake #pizza #guelphbakery #guelphcakes #meatlovers https://t.co/rGb5FeO4X8","Twitter for Android",1,"","","NA NA NA NA NA NA NA NA","deepdishpizza deepdishpizzacake pizzacake","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-22 12:00:09","SircliftonNeal","#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/iboEl9mwSN","Ripl App",0,"","","NA NA NA NA NA NA NA NA","bbq barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-22 12:00:08","SircliftonNeal","#free #shipping#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/Q7RKctOXbU","Ripl App",0,"","","NA NA NA NA NA NA NA NA","free barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-19 16:00:09","SircliftonNeal","#free #shipping#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/FJGQ1CIw2U","Ripl App",0,"","","NA NA NA NA NA NA NA NA","free barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-18 16:00:59","SircliftonNeal","#free #shipping#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/5x3WErEQEM","Ripl App",0,"","","NA NA NA NA NA NA NA NA","free barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-21 16:00:12","SircliftonNeal","#best#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/7GSVINA1VO","Ripl App",0,"","","NA NA NA NA NA NA NA NA","barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-18 21:30:20","SircliftonNeal","#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/dPXFwvq4yN","Ripl App",0,"","","NA NA NA NA NA NA NA NA","bbq barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-16 21:30:08","SircliftonNeal","#free #shipping#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/vq2M97X0Tq","Ripl App",0,"","","NA NA NA NA NA NA NA NA","free barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-21 12:00:08","SircliftonNeal","#love #always#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/l6NiaHizGt","Ripl App",0,"","","NA NA NA NA NA NA NA NA","love barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-21 12:00:08","SircliftonNeal","#love #always#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/T3p7Y69iLp","Ripl App",0,"","","NA NA NA NA NA NA NA NA","love barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-17 21:30:07","SircliftonNeal","#free #shipping#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/HTQNuhzwi2","Ripl App",0,"","","NA NA NA NA NA NA NA NA","free barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-18 12:00:09","SircliftonNeal","#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/ZCdN8vD9vF","Ripl App",0,"","","NA NA NA NA NA NA NA NA","bbq barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-17 16:01:09","SircliftonNeal","#free #shipping#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/SDSkgVGdqK","Ripl App",0,"","","NA NA NA NA NA NA NA NA","free barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
"Atlanta, GA",,,"2020-06-19 12:00:09","SircliftonNeal","#bbq #barbecue #grill #grilling #meat #beef #meatporn #bbqporn #bbqlife #barbeque #pork #biggreenegg #grillporn #weber #meatlovers #carne #brisket #bbqlovers #sauce #pepper#spicy #pork #porkbelly #ribs #pulledpork #chicken https://t.co/3TMLCLYYOF","Ripl App",0,"","","NA NA NA NA NA NA NA NA","bbq barbecue grill grilling meat beef meatporn bbqporn bbqlife barbeque pork biggreenegg grillporn weber meatlovers carne brisket bbqlovers sauce pork porkbelly ribs pulledpork chicken","NA NA","NA NA"
